,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
PABPC3,False,,0.030246532466141604,0.04214182540815138,1.126767683113679,0
PABPC4,False,,0.2141445560254767,0.28365037891192785,0.9690958044528906,0
PABPC4L,False,,0.004459862748507106,0.004766870130904851,0.9446641192902214,0
PABPC5,False,,0.00499599828313987,0.00514670776096119,0.8177614148934363,0
PABPN1,False,,0.24532627325099943,0.3030844116942454,0.9624716733702081,0
PACERR,False,,0.0012907408460390885,0.001294302025396629,0.8558987735718432,0
PACRG,True,1011.0,0.0021771424083734192,0.002310495362699029,1.0275151468310688,1
PACRGL,False,,0.02413632098031998,0.03103401812865299,1.0018002066510883,0
PACS1,False,,0.08806227755738884,0.120742102375795,1.0752934150468936,0
PACS2,False,,0.0539610761639434,0.06633044432090632,0.9534883705898699,0
PACSIN1,True,1295.0,0.003174115652161875,0.0048551175510873155,1.2218850068334774,1
PACSIN2,False,,0.16251657304712844,0.20054973777734153,0.9832932420790078,0
PACSIN3,False,,0.04496535383322542,0.05347327511115203,0.9296522257372333,0
PADI1,False,,0.0005210408519055143,0.000605041687662383,0.4429577664842269,0
PADI2,False,2433.0,0.0050634428025191115,0.007546285495856925,1.1923062629754724,1
PADI3,False,,0.001011689116863392,0.0010527790422652109,0.3718092499541097,0
PADI4,True,1867.5,0.004018504302905786,0.006527822961854225,1.2655318877597872,2
PAEP,True,975.0,0.017845027412530037,0.028003752166894217,1.132024831902497,1
PAF1,False,,0.08213442274760131,0.09582525202438144,0.9295484404267198,0
PAFAH1B1,False,,0.2068339873643047,0.24238869436809035,0.9405144637510223,0
PAFAH1B2,False,,0.19990076909297147,0.23791667210131687,0.937742075470456,0
PAFAH1B3,False,,0.17069406486640254,0.1995771903164228,0.9055209554946602,0
PAFAH2,False,,0.021596823020342784,0.025554050903366057,0.924497205135028,0
PAG1,False,2085.0,0.20063546123387002,0.28114732725527886,1.1218934682888158,1
PAGE1,False,,0.001514129535771755,0.0016321932961601406,0.9312809245379141,0
PAGE2,False,,0.00795047344331993,0.012257796734809945,1.10335266183091,0
PAGE2B,True,692.0,0.002410404085207605,0.004350315175896275,1.2575515032418405,1
PAGE4,False,2887.0,0.012026356162826095,0.017016249366166778,1.1233545365414732,1
PAGE5,True,1688.0,0.004737387231978235,0.006737551601993677,1.0316962057800851,1
PAGR1,False,,0.011106360588974356,0.01469428972396997,0.9638807241770222,0
PAH,False,,0.07219297621182968,0.09465182256386097,1.0307864271942315,0
PAICS,False,,0.11679063716631327,0.131091414634721,0.8832455048681438,0
PAIP1,False,,0.1904992351077049,0.21259151825539208,0.8877863505848835,0
PAIP2,False,,0.5184631237216574,0.529098874412681,0.868034098580498,0
PAIP2B,False,,0.030508716938607027,0.0354803203182489,0.8674327408984766,0
PAK1,False,,0.09410622331947743,0.10789433366697464,0.891841244577196,0
PAK1IP1,False,,0.06768324537011106,0.07926686179367806,0.9293858984391778,0
PAK2,False,,0.3430723452731021,0.39523607959830653,0.9361784241864446,0
PAK3,False,,0.006898788751270595,0.009796028780924863,1.1377789928974136,0
PAK4,False,,0.05514471718825661,0.0644202439610063,0.9004371016028287,0
PAK6,False,,0.0033928216434039584,0.003821624850420873,0.8966055380962212,0
PAK7,False,,0.0010657087327448447,0.0013571305337995083,0.4544394524024185,0
PALB2,False,,0.012023357757601928,0.014688719539004625,0.9204187955019172,0
PALD1,False,,0.02288136496381292,0.02977537617616665,1.0535812765338806,0
PALLD,False,,0.10599114170788519,0.14735116920459398,1.1027401363573426,0
PALM,False,,0.030090885078809606,0.03761494018224234,1.0488341973491688,0
PALM2,False,,0.006936202701060197,0.008092180769953418,0.9618936383970131,0
PALM2-AKAP2,False,,0.0006955851742788203,0.0006959390718965138,0.47424935185151396,0
PALM3,False,,0.01433077216594818,0.02065811428899394,0.9599306956750431,0
PALMD,True,1306.0,0.1160535237100385,0.1717386756895975,1.2382017772748142,1
PAM,False,,0.12604192566932834,0.163559345332018,0.9985417677347439,0
PAM16,False,,0.008991686285022867,0.011913969329913413,0.9098371751569452,0
PAMR1,True,1049.0,0.01557742271056446,0.022541497971578887,1.2116795556854392,1
PAN2,False,,0.02938569039840032,0.036913379721560634,0.9884768005807971,0
PAN3,False,,0.11258899760482298,0.15541954879164144,1.0557968000134939,0
PAN3-AS1,False,,0.0017954117452451425,0.002181996113384439,0.9655341412996818,0
PANK1,False,,0.03460499004353749,0.04131134084293232,0.9380273592662811,0
PANK2,False,,0.08979069734475734,0.10900595234459357,0.9574961552601029,0
PANK3,False,,0.1094806348343403,0.13546399370130652,0.9411793760753566,0
PANK4,False,,0.015493571270462504,0.01877589530727753,0.9489650762590249,0
PANO1,False,2145.0,0.006811751541715734,0.009966856290890422,1.1563774634872241,1
PANX1,False,,0.023183838881688026,0.026584744950146188,0.8981469092282297,0
PANX2,False,,0.0031980751373034562,0.0034146077881441294,0.85257327652728,0
PAOX,False,,0.021200386151318626,0.022004474766805757,0.8169179786088895,0
PAPD4,False,,0.11517209232340513,0.14801815539985666,0.9904142721593854,0
PAPD5,False,,0.0987240103593031,0.13000528180037968,1.0358902740024831,0
PAPD7,False,,0.04562930786026466,0.056004978507292615,0.9467659679357796,0
PAPLN,False,,0.009487585936318446,0.012753995708512248,1.043627731722075,0
PAPOLA,False,,0.4627955649949559,0.48918171796996507,0.8834027461139109,0
PAPOLB,False,,0.001182356517993752,0.0014846965502326916,0.5504856166663106,0
PAPOLG,False,,0.03954561641714919,0.05407118457839448,1.060293705093362,0
PAPPA,True,1740.0,0.01072012885808695,0.015792891755918106,1.1899563315243826,1
PAPPA2,False,,0.00026664965786625197,0.00023218265393547697,0.4369745420967242,0
PAPSS1,False,,0.10808179419032687,0.12807706854030337,0.9427501977302919,0
PAPSS2,False,,0.030755348611297584,0.03487800468799996,0.9630481360307721,0
PAQR3,False,,0.020938798725892233,0.028271399863642493,1.0445276628562459,0
PAQR4,False,,0.036103246143884236,0.053102978239338926,1.0562366073932479,0
PAQR5,False,,0.02194315598286,0.030760962453577793,0.8971399183668731,0
PAQR6,False,,0.014351104069075794,0.02131715709849161,0.9942115428704731,0
PAQR7,False,,0.02637661597169522,0.03896135817580612,1.1113130220058882,0
PAQR8,False,,0.04065418655039903,0.052922905373266604,1.0073525304550977,0
PAQR9,False,,0.019733995216374325,0.02202012103598135,0.7651644245094869,0
PAQR9-AS1,False,,0.022753810316867455,0.026198074372610965,0.902862297661672,0
PARD3,False,,0.04045786301098279,0.048467156014143906,0.8932371680039835,0
PARD3-AS1,False,,0.001583785002845502,0.0019253688522217064,0.9044080516529897,0
PARD3B,False,,0.021575275122519937,0.02550548887076466,0.9386224469475521,0
PARD6A,False,,0.04121905247523378,0.05112948870782382,0.9582070968530572,0
PARD6B,False,,0.0653369536004038,0.0818716064139959,0.8962974606864649,0
PARD6G,False,,0.018367492255676524,0.022480641924854744,0.9676488442510955,0
PARD6G-AS1,False,,0.01263450096185143,0.013923812358550931,0.8792906658342958,0
PARG,False,,0.04024726221181426,0.05067955679760288,0.9676517306661123,0
PARK2,True,1762.0,0.006481123300261051,0.00875511555536615,1.1748742724730632,1
PARK7,False,,0.7825448288655046,0.7358307073750594,0.904756906779946,0
PARL,False,,0.14440063241983944,0.16819423879293288,0.9089259290415124,0
PARM1,False,,0.04367795182134829,0.053232237899551935,0.9938029799492831,0
PARN,False,,0.06435258465819256,0.07891537026987305,0.9660119264424081,0
PARP1,False,,0.2919238259988138,0.33886378548385493,0.9325805784697239,0
PARP10,False,,0.09769388692788725,0.13228921957205272,1.055045211725087,0
PARP11,False,,0.03203047685545245,0.04387451653634001,1.0683228830775062,0
PARP12,False,,0.06938932708367196,0.09144010476305617,0.9894348990024503,0
PARP14,False,,0.18309118520416182,0.229298083313217,1.001839911316413,0
PARP15,True,1733.5,0.02301801442038506,0.03916001325257571,1.3276625896850343,2
PARP16,False,,0.022114297728255787,0.02959012094940034,0.9974687623382315,0
PARP2,False,,0.03055509190133051,0.0347760406924567,0.9113322850971218,0
PARP3,False,,0.026430947529321795,0.03479227339383403,0.9765244719825116,0
PARP4,False,,0.063989015585274,0.0797561163987463,0.9607071671718537,0
PARP6,False,,0.03760616857033217,0.05111879031249775,1.0460358086375943,0
PARP8,True,1224.0,0.10502419539581123,0.16098224593105262,1.1983887666229225,1
PARP9,False,,0.10207412630887794,0.12673579586589598,0.9757431163247623,0
PARPBP,False,,0.01822392629073547,0.0224722800137125,0.9578026413393197,0
PARS2,False,,0.0038203864551342288,0.0034043584992603138,0.7085440297869031,0
PART1,True,1163.0,0.012220993478818182,0.019312123925661236,1.193412119722116,1
PARVA,False,,0.08517906848921132,0.09374230033759992,0.8835331502084881,0
PARVB,False,,0.11285572694784286,0.13284752968780625,0.9451368539997153,0
PARVG,False,2525.0,0.08294741001714583,0.12133011714045086,1.1465283561452748,1
PASK,True,1531.5,0.07226022511951682,0.12098313906386635,1.2961669872674308,2
PATE2,False,,0.0003688120861336192,0.0002054182804861787,0.3349595728818823,0
PATL1,False,,0.06557054034686553,0.08206062408788972,0.9634214391146361,0
PATL2,True,1326.0,0.024376574217673745,0.03840159635432605,1.2320958375205961,1
PATZ1,False,,0.032690824062356454,0.04345573425329216,0.9984236459965725,0
PAWR,False,,0.11294420141076582,0.13833078065933446,0.9425810145736789,0
PAX2,False,,0.0004253376961353813,0.0005505081007948313,0.5257849458991903,0
PAX5,True,1781.0,0.007892848942143947,0.013199989794243458,1.2837562530685334,2
PAX6,False,,0.0012799137756431375,0.0011639800513637947,0.7915026881470797,0
PAX8,False,,0.008713241986557294,0.010435584098932442,0.9494940986895337,0
PAXBP1,False,,0.05816471975834495,0.08203903171680714,1.0938157964591078,0
PAXBP1-AS1,False,2054.0,0.003028881326926571,0.004560142899917226,1.1446127586015757,1
PAXIP1,False,,0.02941019439719744,0.03695104247280328,0.9953861360430515,0
PAXIP1-AS1,False,,0.04052096808463079,0.050467115741635954,0.9509100621172349,0
PAXIP1-AS2,False,,0.02192444542160255,0.028068223673884295,1.0360310560671762,0
