Rloop_sample_group,celltype,Signature,Score
R-loop-low-enriched,T cell,Cytotoxicity,0.5909098530863668
R-loop-low-enriched,T cell,Cytotoxicity,-0.1792347885693196
R-loop-low-enriched,T cell,Cytotoxicity,0.5602192006154432
R-loop-low-enriched,T cell,Cytotoxicity,1.2313641362707408
R-loop-low-enriched,T cell,Cytotoxicity,0.7796146385531875
R-loop-low-enriched,T cell,Cytotoxicity,-0.2117025190372531
R-loop-low-enriched,T cell,Cytotoxicity,0.6381748776315105
R-loop-low-enriched,T cell,Cytotoxicity,0.0810710949813471
R-loop-low-enriched,T cell,Cytotoxicity,-0.2992669300092104
R-loop-low-enriched,T cell,Cytotoxicity,0.1881269456323003
R-loop-low-enriched,T cell,Cytotoxicity,0.1566256075684556
R-loop-low-enriched,T cell,Cytotoxicity,0.3812338309144495
R-loop-low-enriched,T cell,Cytotoxicity,-0.17188088152320888
R-loop-low-enriched,T cell,Cytotoxicity,0.4719880942915594
R-loop-low-enriched,T cell,Cytotoxicity,0.5186273189349659
R-loop-low-enriched,T cell,Cytotoxicity,0.6007586247717086
R-loop-low-enriched,T cell,Cytotoxicity,1.0563243851386015
R-loop-low-enriched,T cell,Cytotoxicity,-0.20493268169288253
R-loop-low-enriched,T cell,Cytotoxicity,0.15514274903364406
R-loop-low-enriched,T cell,Cytotoxicity,0.1993615033805399
R-loop-low-enriched,T cell,Cytotoxicity,0.5838507972604283
R-loop-low-enriched,T cell,Cytotoxicity,0.6708583704205261
R-loop-low-enriched,T cell,Cytotoxicity,0.12781696870915926
R-loop-low-enriched,T cell,Cytotoxicity,0.9000387476553372
R-loop-low-enriched,T cell,Cytotoxicity,-0.14502517036769702
R-loop-low-enriched,T cell,Cytotoxicity,0.013727536739143426
R-loop-low-enriched,T cell,Cytotoxicity,-0.21628871649802728
R-loop-low-enriched,T cell,Cytotoxicity,0.7955883473115165
R-loop-low-enriched,T cell,Cytotoxicity,1.250656680176831
R-loop-low-enriched,T cell,Cytotoxicity,1.7183327084799673
R-loop-low-enriched,T cell,Cytotoxicity,-0.17723272317229305
R-loop-low-enriched,T cell,Cytotoxicity,-0.16536171699447377
R-loop-low-enriched,T cell,Cytotoxicity,0.1383405938082429
R-loop-low-enriched,T cell,Cytotoxicity,0.1888040770655093
R-loop-low-enriched,T cell,Cytotoxicity,1.3758590035727876
R-loop-low-enriched,T cell,Cytotoxicity,0.948995404304982
R-loop-low-enriched,T cell,Cytotoxicity,0.8842986868262803
R-loop-low-enriched,T cell,Cytotoxicity,1.2979522842684261
R-loop-low-enriched,T cell,Cytotoxicity,0.16941055554382206
R-loop-low-enriched,T cell,Cytotoxicity,0.5861694611149773
R-loop-low-enriched,T cell,Cytotoxicity,1.0705194158868476
R-loop-low-enriched,T cell,Cytotoxicity,0.4453104265671396
R-loop-low-enriched,T cell,Cytotoxicity,0.7245522151423935
R-loop-low-enriched,T cell,Cytotoxicity,1.024580122578161
R-loop-low-enriched,T cell,Cytotoxicity,-0.18992524162981422
R-loop-low-enriched,T cell,Cytotoxicity,0.15237716459738146
R-loop-low-enriched,T cell,Cytotoxicity,1.1236096357991694
R-loop-low-enriched,T cell,Cytotoxicity,0.4923887817812945
R-loop-low-enriched,T cell,Cytotoxicity,1.0551592019888072
R-loop-low-enriched,T cell,Cytotoxicity,1.039045876996459
R-loop-low-enriched,T cell,Cytotoxicity,1.0459617855329009
R-loop-low-enriched,T cell,Cytotoxicity,-0.1499162884460245
R-loop-low-enriched,T cell,Cytotoxicity,1.0663549593630672
R-loop-low-enriched,T cell,Cytotoxicity,0.12697707416335763
R-loop-low-enriched,T cell,Cytotoxicity,0.4789851585530346
R-loop-low-enriched,T cell,Cytotoxicity,-0.16508634433299801
R-loop-low-enriched,T cell,Cytotoxicity,1.095395283213769
R-loop-low-enriched,T cell,Cytotoxicity,3.3140845537983057
R-loop-low-enriched,T cell,Cytotoxicity,0.1194756033314624
R-loop-low-enriched,T cell,Cytotoxicity,-0.16452756135360055
R-loop-low-enriched,T cell,Cytotoxicity,1.0481297907166314
R-loop-low-enriched,T cell,Cytotoxicity,1.973207023573218
R-loop-low-enriched,T cell,Cytotoxicity,1.2555290063601956
R-loop-low-enriched,T cell,Cytotoxicity,0.5193704677095154
R-loop-low-enriched,T cell,Cytotoxicity,1.9616568283321638
R-loop-low-enriched,T cell,Cytotoxicity,-0.17638097399453256
R-loop-low-enriched,T cell,Cytotoxicity,-0.25423918759145064
R-loop-low-enriched,T cell,Cytotoxicity,1.6628800855546377
R-loop-low-enriched,T cell,Cytotoxicity,0.6343618341455948
R-loop-low-enriched,T cell,Cytotoxicity,1.2176248629698043
R-loop-low-enriched,T cell,Cytotoxicity,0.1431529830644647
R-loop-low-enriched,T cell,Cytotoxicity,0.22052399222496533
R-loop-low-enriched,T cell,Cytotoxicity,-0.1160480665123981
R-loop-low-enriched,T cell,Cytotoxicity,0.1273045877036556
R-loop-low-enriched,T cell,Cytotoxicity,1.6242926238087791
R-loop-low-enriched,T cell,Cytotoxicity,1.2746214148990287
R-loop-low-enriched,T cell,Cytotoxicity,0.7954972973863188
