names,scores,logfoldchanges,pvals,pvals_adj,minus_log10_padj,direction
ANXA4,22.448273,1.5512145,1.3303932638275681e-111,3.671347875532238e-110,109.43517446233173,High-up
RRAGD,21.804134,2.2288322,2.1198126837614896e-105,5.463517218902254e-104,103.26252768385619,High-up
ORMDL1,21.772167,1.7681155,4.260084928167288e-105,1.0877151424068252e-103,102.96348482548221,High-up
HSPA8,21.396185,1.4572597,1.4499943976222332e-101,3.601258813003583e-100,99.44354566590441,High-up
EIF1AX,21.232964,1.4245713,4.737936175397546e-100,1.166129876683432e-98,97.93325307771953,High-up
LLNLR-245B6.1,21.227728,1.9304464,5.29615053207622e-100,1.2918824333600206e-98,97.8887770071352,High-up
UBC,21.159046,1.5772916,2.277850897048281e-99,5.411381435422525e-98,97.26669185260212,High-up
DCUN1D5,21.1053,2.0698824,7.109949380371176e-99,1.660203564715731e-97,96.77983865797648,High-up
HES6,21.062042,3.089455,1.773587548675205e-98,4.1063060872717455e-97,96.38654868110801,High-up
NDUFB3,20.819637,1.4627018,2.8735216952466217e-96,6.597026278498967e-95,94.18065178595376,High-up
GAPDH,20.73831,1.2810655,1.5632181707513436e-95,3.5295140847046864e-94,93.45228508069071,High-up
SNRPD1,20.737762,1.4462085,1.5810921028957045e-95,3.540609528779561e-94,93.45092196616676,High-up
NQO1,20.631033,2.888458,1.445313440955558e-94,3.184351871524665e-93,92.49697894865481,High-up
HCCS,20.626204,2.167537,1.597092356429684e-94,3.490605054212717e-93,92.45709928681435,High-up
CNBP,20.542664,1.3171073,8.951634460960812e-94,1.9409416942337253e-92,91.71198751059458,High-up
COPS8,20.425404,1.7075821,9.943516185388942e-93,2.1058671487195806e-91,90.67656903030053,High-up
NNMT,20.403698,1.8265388,1.550344375717391e-92,3.258108334199932e-91,90.48703447921626,High-up
PPP1CA,20.362854,1.3673675,3.5715674199883294e-92,7.448490222448944e-91,90.12793174799096,High-up
STMN1,20.34205,1.615272,5.4600144324283865e-92,1.1300575325298752e-90,89.94689944552171,High-up
PDCD6,20.117739,1.3410275,5.160907692346153e-90,1.0444148011473845e-88,87.98112698210849,High-up
KDELR1,19.82026,1.3431315,1.9907974598813865e-87,3.8848990431399625e-86,85.41062026272586,High-up
SNRNP70,19.686003,1.4471792,2.8425737707897933e-86,5.46895178999839e-85,84.26209590500898,High-up
IGFBP3,19.589964,2.21937,1.883239873997392e-85,3.5979100250076047e-84,83.443949701505,High-up
NOL7,19.549164,1.3305943,4.193323201230459e-85,7.955665962334454e-84,83.09932346005746,High-up
PAGE1,19.414478,4.119768,5.822471617702783e-84,1.0895200314769865e-82,81.9627647805807,High-up
RAB5C,19.39956,1.2624353,7.783464158559519e-84,1.4465594613050753e-82,81.83966370983077,High-up
NUTF2,18.983366,1.4275386,2.341062821051973e-80,4.207752386259204e-79,78.3759498250438,High-up
TM4SF1,18.962942,1.4847379,3.452791910419557e-80,6.165377450500804e-79,78.21004033031694,High-up
CTSD,18.826809,1.281326,4.553872755764464e-79,8.026567979837753e-78,77.0954701117612,High-up
TFPI2,18.806952,4.3623347,6.62380464974417e-79,1.160015019429556e-77,76.9355363876583,High-up
PAICS,18.693714,1.5102742,5.569642464952092e-78,9.630546338132351e-77,76.01634907477518,High-up
PTS,18.625937,1.5293682,1.980002845937393e-77,3.3808548594380985e-76,75.4709734731556,High-up
TCEB1,18.625008,1.2416356,2.014616243876989e-77,3.4185910424049275e-76,75.46615284967133,High-up
TSPAN3,18.522312,1.8855858,1.3644733714963962e-76,2.3010748462519473e-75,74.6380692549578,High-up
IGLC2,18.509258,2.861876,1.738769816659043e-76,2.9143062203144203e-75,74.53546481673706,High-up
PIGT,18.43876,1.3153989,6.419510243472337e-76,1.069396462510148e-74,73.97086125684955,High-up
H3F3A,18.333887,1.1709557,4.440175148926928e-75,7.263807489142735e-74,73.13883567433153,High-up
SPINK1,18.299152,1.6764555,8.404673207179512e-75,1.3667599525008588e-73,72.86430775497035,High-up
ASNA1,18.241983,1.3039076,2.3959989206360965e-74,3.87329529655492e-73,72.41191939153043,High-up
HSP90AB1,18.171297,1.1274705,8.711532979942493e-74,1.3860676978651958e-72,71.85821555753714,High-up
PSMB1,18.059692,1.2080582,6.619109149843322e-73,1.0392762182397677e-71,70.98326901056173,High-up
RAB2A,17.905277,1.1740829,1.0725794033939912e-71,1.6744496743270767e-70,69.77612790067144,High-up
RANBP1,17.842192,1.17378,3.3240238496548342e-71,5.159791566623299e-70,69.28736784164676,High-up
PPP2R1A,17.793596,1.2685502,7.92276150649468e-71,1.2228804765956763e-69,68.9126159885006,High-up
BZW2,17.713476,1.8296728,3.300424714651957e-70,5.037296268396172e-69,68.297802505377,High-up
TIMMDC1,17.683641,1.3946391,5.60566141117443e-70,8.508148319626968e-69,68.0701649477968,High-up
DYNLRB1,17.668585,1.168651,7.321014402999695e-70,1.1050282513257e-68,67.95662661859605,High-up
IGKC,17.589855,2.4871886,2.946310625452004e-69,4.422703642162019e-68,67.35431216098894,High-up
POLR2K,17.536924,1.165728,7.487048126873372e-69,1.1177385509627352e-67,66.95165976993157,High-up
IGLC3,17.45618,2.982014,3.089205029203485e-68,4.562004399883201e-67,66.34084430019833,High-up
PSMD12,17.415993,1.22889,6.239611110261438e-68,9.164848146900133e-67,66.03787472650205,High-up
SAP18,17.318586,1.041373,3.406268912433828e-67,4.94996099402618e-66,65.30539822331814,High-up
TFF2,17.179346,2.1946297,3.791668210606341e-66,5.4520197638823805e-65,64.26344257849226,High-up
PHC2,17.106146,1.8146168,1.3355033447937117e-65,1.9102592345426286e-64,63.71890769218063,High-up
RUVBL2,17.099173,1.3417536,1.5052605149019617e-65,2.1418602743292495e-64,63.669208864067684,High-up
SRSF10,17.040928,1.2134502,4.082084906822564e-65,5.778370966548832e-64,63.23819458025688,High-up
RAB11B,16.949188,1.2754405,1.951323159579357e-64,2.733853780497848e-63,62.5632247172814,High-up
AP2M1,16.932535,1.1170664,2.589805340884688e-64,3.609871526171922e-63,62.44250825417951,High-up
ECHDC3,16.928411,1.5487133,2.7777867082970924e-64,3.8522402472424654e-63,62.414286635670535,High-up
