pseudo_group,RLP1,RLP2,RLP3,RLP4
S15_P09_LCP38__TAM,0.20638224,0.48801982,0.24924496,0.16566435
S16_P10_LCP18__T cell,0.017129311,0.2512904,1.245778,0.0
S19_P11_LCP39__TAM,0.14925617,0.42612144,0.35847843,0.2247892
S19_P11_LCP39__T cell,0.06865654,0.54788584,0.37775007,0.04132788
S20_P12_LCP35__T cell,0.01341262,0.51918083,0.3600576,0.05675609
S20_P12_LCP35__CAF,0.4185587,0.07959249,0.1586759,0.35161
S21_P13_LCP37__Malignant cell,0.1485398,0.026843429,0.12559114,1.0743451
S21_P13_LCP37__T cell,0.0,0.6114141,0.42152023,0.4401079
S300_P02_LCP60__T cell,0.1259901,0.6020291,0.09821443,0.0
S300_P02_LCP60__unclassified,0.28375688,0.5272754,0.2371811,0.0146493185
S300_P02_LCP60__TAM,0.2429267,0.5065556,0.19084667,0.11506682
S300_P02_LCP60__B cell,0.13875815,0.55247444,0.05912176,0.0
S300_P02_LCP60__Malignant cell,0.39203936,0.044013828,0.18771826,0.70001316
S305_P06_LCP56__T cell,0.06444699,0.5325086,0.3671897,0.04819795
S305_P06_LCP56__Malignant cell,0.35151312,0.0,0.2815145,0.9425214
S351_P10_LCP34__TEC,0.6031253,0.0,0.21785532,0.13984445
S351_P10_LCP34__CAF,0.47789097,0.11109577,0.0,0.18607658
S351_P10_LCP34__T cell,0.11225811,0.5161947,0.0,0.04249007
S351_P10_LCP34__TAM,0.32151678,0.29375216,0.015192246,0.05914777
S351_P10_LCP34__Malignant cell,0.26145908,0.0,0.0017160212,0.6381579
S355_P13_LCP42__B cell,0.080832385,0.11719731,0.040193453,0.15972145
S355_P13_LCP42__T cell,0.062283073,0.5725814,0.29052255,0.1897196
S355_P13_LCP42__Malignant cell,0.37048152,0.0,0.4024963,1.0748616
S355_P13_LCP42__TAM,0.23021899,0.3553471,0.14011829,0.2928829
S358_P16_LCP46__Malignant cell,0.5771842,0.059082657,0.1484067,0.52684754
S358_P16_LCP46__TAM,0.33021116,0.15277071,0.14256902,0.15257718
S358_P16_LCP46__HPC-like,0.33554003,0.1863027,0.0,0.24227677
S364_P21_LCP65__Malignant cell,0.3450366,0.0,0.028876077,0.89375365
S364_P21_LCP65__HPC-like,0.3452526,0.007116778,0.0,0.56474537
S364_P21_LCP65__TAM,0.22746377,0.21409489,0.044360284,0.33988696
S365_P22_LCP66__Malignant cell,0.6776158,0.0,0.1729493,0.37842956
S365_P22_LCP66__HPC-like,0.5311026,0.06248338,0.044548262,0.17621423
S365_P22_LCP66__CAF,0.51786107,0.081619404,0.0,0.08376325
S365_P22_LCP66__T cell,0.1999109,0.38083982,0.23520023,0.14485104
S365_P22_LCP66__TEC,0.7257049,0.027934683,0.1332905,0.053502247
S365_P22_LCP66__TAM,0.35874075,0.2546343,0.0657056,0.06541571
S365_P22_LCP66__B cell,0.14982413,0.035239045,0.041176844,0.07907496
